name,parent,,,,
top,null,,,,
pop,top,,,,
r&b,top,,,,
alternative,top,,,,
piano rock,rock,,,,
edm,top,,,,
dance pop,pop,,,,
folk,top,,,,
idol,pop,,,,
neo mellow,r&b,,,,
pop punk,pop,,,,
indie r&b,r&b,,,,
pop rap,pop,,,,
alternative dance,alternative,,,,
deep pop r&b,r&b,,,,
alternative rock,alternative,,,,
downtempo,soul,,,,
metropopolis,pop,,,,
deep indie r&b,r&b,,,,
tropical house,house,,,,
big room,edm,,,,
acoustic pop,pop,,,,
c-pop,pop,,,,
aussietronica,edm,,,,
deep tropical house,house,,,,
k-pop,pop,,,,
alternative r&b,alternative,,,,
hip hop,top,,,,
pop rock,pop,,,,
channel pop,pop,,,,
progressive house,house,,,,
indietronica,edm,,,,
soul,r&b,,,,
post-teen pop,pop,,,,
indie poptimism,pop,,,,
alternative pop rock,alternative,,,,
j-rock,rock,,,,
indie folk,folk,,,,
deep house,house,,,,
a cappella,top,,,,
modern rock,rock,,,,
soul r&b,r&b,,,,
house,edm,,,,
rock,top,,,,
A Great Big World,piano rock,,,done,
Say Something,A Great Big World,,,done,
Above & Beyond,edm,,,done,
Sun & Moon,Above & Beyond,,,done,
Making Plans,Above & Beyond,,,done,
Adele,dance pop,,,done,
Make You Feel My Love,Adele,,,done,
Alexander Wren,folk,,,done,
The Good in Goodbye,Alexander Wren,,,done,
Andrew Garcia,idol,,,done,
Airplanes & Terminals,Andrew Garcia,,,done,
ATB,edm,,,done,
Now or Never,ATB,,,done,
Bebe Rexha,dance pop,,,done,
I Got You,Bebe Rexha,,,done,
Beyonce,dance pop,,,done,
Halo,Beyonce,,,done,
Bruno Mars,dance pop,,,done,
Versace On The Floor,Bruno Mars,,,done,
Treasure,Bruno Mars,,,done,
If I Knew,Bruno Mars,,,done,
Calum Scott,neo mellow,,,done,
Rhythm Inside,Calum Scott,,,done,
Charlie Puth,dance pop,,,done,
Does It Feel,Charlie Puth,,,done,
Dangerously,Charlie Puth,,,done,
Losing My Mind,Charlie Puth,,,done,
Chester See,channel pop,,,done,
You're Beautiful,Chester See,,,done,
Childish Gambino,indie r&b,,,done,
3005,Childish Gambino,,,done,
Heartbeat,Childish Gambino,,,done,
Heartbeat (Ashworth IV Remix),Childish Gambino,,,done,
Redbone,Childish Gambino,,,done,
Chris Brown,pop rap,,,done,
She Ain't You,Chris Brown,,,done,
Should've Kissed You,Chris Brown,,,done,
Take You Down,Chris Brown,,,done,
Christina Aguilera,dance pop,,,done,
Beautiful,Christina Aguilera,,,done,
Christina Perri,dance pop,,,done,
A Thousand Years,Christina Perri,,,done,
CHVRCHES,alternative dance,,,done,
The Mother We Share,CHVRCHES,,,done,
Ciara,deep pop r&b,,,done,
Lover's Thing,Ciara,,,done,
Coldplay,alternative rock,,,DONE,
Lovers In Japan,Coldplay,,,done,
Common Souls,downtempo,,,done,
Arizona,Common Souls,,,done,
Courage My Love,metropopolis,,,done,
Stereo,Courage My Love,,,done,
DANakaDAN,hip hop,,,done,
Is There Anybody Out There? (feat. Clara C),DANakaDAN,,,done,
Daniel Caesar,deep indie r&b,,,done,
Streetcar,Daniel Caesar,,,done,
DJ Snake,tropical house,,,done,
Middle,DJ Snake,,,done,
Let Me Love You,DJ Snake,,,done,
Drake,pop rap,,,done,
Marvins Room,Drake,,,done,
Fake Love,Drake,,,done,
Hold On We're Going Home,Drake,,,done,
One Dance,Drake,,,done,
DVBBS,big room,,,done,
Not Going Home,DVBBS,,,done,
"Dyrisk, Flyboy",tropical house,,,done,
Over You,"Dyrisk, Flyboy",,,done,
Earl of Manila,soul r&b,,,done,
Stranger,Earl of Manila,,,done,
Ed Sheeran,acoustic pop,,,done,
Castle on the Hill,Ed Sheeran,,,done,
Shape of You,Ed Sheeran,,,done,
Photograph,Ed Sheeran,,,done,
Thinking Out Loud,Ed Sheeran,,,done,
Ellie Goulding,metropopolis,,,done,
Burn,Ellie Goulding,,,done,
Love Me Like You Do,Ellie Goulding,,,done,
Lights,Ellie Goulding,,,done,
Elliott Yamin,idol,,,done,
Wait for You,Elliott Yamin,,,done,
Eric Chou,c-pop,,,done,
Come Out Your Way,Eric Chou,,,done,
Fergie,dance pop,,,done,
Life Goes On,Fergie,,,done,
Big Girls Don't Cry ,Fergie,,,done,
Flume,aussietronica,,,done,
Never Be Like You (Martin Solveig Remix) [feat. Kai],Flume,,,done,
Flyboy,deep tropical house,,,done,
Iceland (feat. Gavrielle),Flyboy,,,done,
Run Away With Me (feat. Radiochaser),Flyboy,,,done,
Frank Ocean,indie r&b,,,done,
Thinkin Bout You,Frank Ocean,,,done,
Geeks,k-pop,,,done,
Officially Missing You,Geeks,,,done,
George Nozuka,alternative r&b,,,done,
Lie to Me,George Nozuka,,,done,
Glee Cast,dance pop,,,done,
Landslide,Glee Cast,,,done,
gnash,hip hop,,,done,
Left Out (feat. Karizma),gnash,,,done,
get well soon (feat. liphemra),gnash,,,done,
rumours (feat. mark johns),gnash,,,done,
"i hate u, i love u (feat. olivia o'brien)",gnash,,,done,
"Goldroom, Chela",alternative dance,,,done,
Fifteen - Oxford Remix,"Goldroom, Chela",,,done,
Grayson Gibson,dance pop,,,done,
Sunset,Grayson Gibson,,,done,
Hedley,pop rock,,,done,
